Test Number, Apfloat, mpf
1, 0.02328283299999999 seconds, 0.01779866699999999 seconds
2, 0.024176332999999994 seconds, 0.017886457999999994 seconds
3, 0.022871541999999995 seconds, 0.01946241700000001 seconds
4, 0.021618250000000006 seconds, 0.01816120900000001 seconds
5, 0.025055333999999985 seconds, 0.017864624999999967 seconds
6, 0.022170250000000002 seconds, 0.017727875000000004 seconds
7, 0.025173875000000012 seconds, 0.017877625000000008 seconds
8, 0.02403700000000003 seconds, 0.01990429199999999 seconds
9, 0.021569167 seconds, 0.017155750000000025 seconds
10, 0.02367704199999998 seconds, 0.016923709000000065 seconds
11, 0.021152332999999968 seconds, 0.017066791999999942 seconds
12, 0.023327374999999928 seconds, 0.017227333999999983 seconds
13, 0.021187624999999932 seconds, 0.016961333000000023 seconds
14, 0.022202500000000014 seconds, 0.016972499999999946 seconds
15, 0.024673374999999997 seconds, 0.017592958000000047 seconds
16, 0.02146387500000002 seconds, 0.017245999999999984 seconds
17, 0.023359750000000012 seconds, 0.017346333999999963 seconds
18, 0.021388709000000006 seconds, 0.01713204199999996 seconds
19, 0.02292754099999994 seconds, 0.01731791699999996 seconds
20, 0.021405707999999968 seconds, 0.019712167000000003 seconds
21, 0.02187349999999999 seconds, 0.01716454200000006 seconds
22, 0.023496417000000047 seconds, 0.017335042000000023 seconds
23, 0.021570292000000046 seconds, 0.01785045800000007 seconds
24, 0.022932417000000038 seconds, 0.017239374999999946 seconds
25, 0.021439041999999908 seconds, 0.01850649999999998 seconds
26, 0.021219917000000033 seconds, 0.01710949999999989 seconds
27, 0.023196833000000083 seconds, 0.016863416999999936 seconds
28, 0.021256874999999953 seconds, 0.016916375000000095 seconds
29, 0.02234241700000017 seconds, 0.01695754100000002 seconds
30, 0.021340125000000043 seconds, 0.01821170800000016 seconds
31, 0.021122499999999933 seconds, 0.016999292000000166 seconds
32, 0.022886042000000106 seconds, 0.016780666000000055 seconds
33, 0.021808583000000104 seconds, 0.017318875000000178 seconds
34, 0.023038082999999876 seconds, 0.017075375000000115 seconds
35, 0.021429375000000084 seconds, 0.01856816700000019 seconds
36, 0.02124366700000002 seconds, 0.017096041999999922 seconds
37, 0.023379874999999828 seconds, 0.01717208299999995 seconds
38, 0.021448291000000008 seconds, 0.016932707999999907 seconds
39, 0.022702749999999883 seconds, 0.01702333300000003 seconds
40, 0.021153957999999973 seconds, 0.01841020900000001 seconds
41, 0.021371499999999877 seconds, 0.01716387500000005 seconds
42, 0.023097541000000055 seconds, 0.016955249999999866 seconds
43, 0.02128091700000012 seconds, 0.01706933399999988 seconds
44, 0.022611959000000015 seconds, 0.017002249999999997 seconds
45, 0.02123595899999997 seconds, 0.01842904199999995 seconds
46, 0.021737874999999907 seconds, 0.01707649999999994 seconds
47, 0.02345991599999997 seconds, 0.017231333999999876 seconds
48, 0.021189915999999753 seconds, 0.017213332999999942 seconds
49, 0.02298491700000005 seconds, 0.01689174999999965 seconds
50, 0.021093916000000323 seconds, 0.01870958300000014 seconds
51, 0.021122749999999968 seconds, 0.016857290999999996 seconds
52, 0.023388708999999785 seconds, 0.017038667000000007 seconds
53, 0.021342542000000186 seconds, 0.016820667000000178 seconds
54, 0.022897750000000272 seconds, 0.017017624999999814 seconds
55, 0.02115725000000035 seconds, 0.016965334 seconds
56, 0.02264637500000033 seconds, 0.01709529200000004 seconds
57, 0.021224791999999937 seconds, 0.01843583399999993 seconds
58, 0.021500542000000067 seconds, 0.01796641699999979 seconds
59, 0.024166875000000143 seconds, 0.01742304199999989 seconds
60, 0.021424999999999805 seconds, 0.01726062500000003 seconds
61, 0.02305199999999985 seconds, 0.017268957999999834 seconds
62, 0.02127112500000017 seconds, 0.018382832999999987 seconds
63, 0.02137579200000017 seconds, 0.01732866700000013 seconds
64, 0.023110582999999796 seconds, 0.016740291000000074 seconds
65, 0.021186458000000297 seconds, 0.017398916999999958 seconds
66, 0.022760582999999723 seconds, 0.01742579200000005 seconds
67, 0.02143241600000012 seconds, 0.018575666999999907 seconds
68, 0.021657541999999808 seconds, 0.01693066700000001 seconds
69, 0.022881208999999902 seconds, 0.016860165999999843 seconds
70, 0.02114583399999992 seconds, 0.017208584000000027 seconds
71, 0.022661541999999812 seconds, 0.018033083000000172 seconds
72, 0.021057708000000286 seconds, 0.018711833999999872 seconds
73, 0.021489375000000255 seconds, 0.017158499999999854 seconds
74, 0.024654167000000005 seconds, 0.017085457999999942 seconds
75, 0.021020458000000186 seconds, 0.017357667000000188 seconds
76, 0.024272084000000138 seconds, 0.017710082999999877 seconds
77, 0.02160987499999978 seconds, 0.01929112499999963 seconds
78, 0.021118957999999743 seconds, 0.016804499999999667 seconds
79, 0.023084834000000054 seconds, 0.016813500000000037 seconds
80, 0.020994959000000257 seconds, 0.017169458000000137 seconds
81, 0.02320687500000007 seconds, 0.017170624999999884 seconds
82, 0.021516375000000032 seconds, 0.018978582999999993 seconds
83, 0.021194667000000056 seconds, 0.017580415999999932 seconds
84, 0.025045833000000073 seconds, 0.017250374999999707 seconds
85, 0.021540083999999737 seconds, 0.01742424999999992 seconds
86, 0.023318624999999926 seconds, 0.017415750000000063 seconds
87, 0.02149887500000025 seconds, 0.01922075000000012 seconds
88, 0.02145962499999987 seconds, 0.01735858300000004 seconds
89, 0.02424345799999994 seconds, 0.017257374999999797 seconds
90, 0.021707000000000143 seconds, 0.017166249999999827 seconds
91, 0.02341779200000005 seconds, 0.01739637500000013 seconds
92, 0.021296167000000032 seconds, 0.017332542000000117 seconds
93, 0.023715916000000004 seconds, 0.01745554199999999 seconds
94, 0.0226188340000002 seconds, 0.01879512499999958 seconds
95, 0.02168083399999965 seconds, 0.017049708000000052 seconds
96, 0.02324395800000012 seconds, 0.01784499999999989 seconds
97, 0.02107745800000016 seconds, 0.016991208000000313 seconds
98, 0.022396042000000005 seconds, 0.017325083999999435 seconds
99, 0.02254437499999984 seconds, 0.01875058299999921 seconds
100, 0.020996375000000178 seconds, 0.016786333999999847 seconds
